,lgID,teamID,franchID,name
2439,NL,NYN,NYM,New York Mets
2440,NL,PHI,PHI,Philadelphia Phillies
2441,NL,PIT,PIT,Pittsburgh Pirates
2442,NL,SDN,SDP,San Diego Padres
2443,NL,SFN,SFG,San Francisco Giants
2444,NL,SLN,STL,St. Louis Cardinals
2445,AL,ANA,ANA,Anaheim Angels
2446,AL,BAL,BAL,Baltimore Orioles
2447,AL,BOS,BOS,Boston Red Sox
2448,AL,CHA,CHW,Chicago White Sox
2449,AL,CLE,CLE,Cleveland Indians
2450,AL,DET,DET,Detroit Tigers
2451,AL,KCA,KCR,Kansas City Royals
2452,AL,MIN,MIN,Minnesota Twins
2453,AL,NYA,NYY,New York Yankees
2454,AL,OAK,OAK,Oakland Athletics
2455,AL,SEA,SEA,Seattle Mariners
2456,AL,TBA,TBD,Tampa Bay Devil Rays
2457,AL,TEX,TEX,Texas Rangers
2458,AL,TOR,TOR,Toronto Blue Jays
2459,NL,ARI,ARI,Arizona Diamondbacks
2460,NL,ATL,ATL,Atlanta Braves
2461,NL,CHN,CHC,Chicago Cubs
2462,NL,CIN,CIN,Cincinnati Reds
2463,NL,COL,COL,Colorado Rockies
2464,NL,FLO,FLA,Florida Marlins
2465,NL,HOU,HOU,Houston Astros
2466,NL,LAN,LAD,Los Angeles Dodgers
2467,NL,MIL,MIL,Milwaukee Brewers
2468,NL,MON,WSN,Montreal Expos
2469,NL,NYN,NYM,New York Mets
2470,NL,PHI,PHI,Philadelphia Phillies
2471,NL,PIT,PIT,Pittsburgh Pirates
2472,NL,SDN,SDP,San Diego Padres
2473,NL,SFN,SFG,San Francisco Giants
2474,NL,SLN,STL,St. Louis Cardinals
2475,AL,BAL,BAL,Baltimore Orioles
2476,AL,BOS,BOS,Boston Red Sox
2477,AL,CHA,CHW,Chicago White Sox
2478,AL,CLE,CLE,Cleveland Indians
2479,AL,DET,DET,Detroit Tigers
2480,AL,KCA,KCR,Kansas City Royals
2481,AL,LAA,ANA,Los Angeles Angels of Anaheim
2482,AL,MIN,MIN,Minnesota Twins
2483,AL,NYA,NYY,New York Yankees
2484,AL,OAK,OAK,Oakland Athletics
2485,AL,SEA,SEA,Seattle Mariners
2486,AL,TBA,TBD,Tampa Bay Devil Rays
2487,AL,TEX,TEX,Texas Rangers
2488,AL,TOR,TOR,Toronto Blue Jays
2489,NL,ARI,ARI,Arizona Diamondbacks
2490,NL,ATL,ATL,Atlanta Braves
2491,NL,CHN,CHC,Chicago Cubs
2492,NL,CIN,CIN,Cincinnati Reds
2493,NL,COL,COL,Colorado Rockies
2494,NL,FLO,FLA,Florida Marlins
2495,NL,HOU,HOU,Houston Astros
2496,NL,LAN,LAD,Los Angeles Dodgers
