,playerID,birthYear,birthMonth,birthDay,birthCity,birthCountry,birthState,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame
8834,hunteca01,1946.0,4.0,8.0,Hertford,USA,NC,1999.0,9.0,9.0,USA,NC,Hertford,Catfish,Hunter,James Augustus,190.0,72.0,R,R,1965-05-13,1979-09-17
8940,irvinmo01,1919.0,2.0,25.0,Haleburg,USA,AL,2016.0,1.0,11.0,USA,TX,Houston,Monte,Irvin,Monford Merrill,195.0,73.0,R,R,1949-07-08,1956-09-30
8995,jacksre01,1946.0,5.0,18.0,Abington,USA,PA,,,,,,,Reggie,Jackson,Reginald Martinez,195.0,72.0,L,L,1967-06-09,1987-10-04
9004,jackstr01,1903.0,11.0,2.0,Waldo,USA,AR,1987.0,7.0,27.0,USA,AR,Waldo,Travis,Jackson,Travis Calvin,160.0,70.0,R,R,1922-09-27,1936-09-24
9109,jenkife01,1942.0,12.0,13.0,Chatham,CAN,ON,,,,,,,Fergie,Jenkins,Ferguson Arthur,205.0,77.0,R,R,1965-09-10,1983-09-26
9123,jennihu01,1869.0,4.0,2.0,Pittston,USA,PA,1928.0,2.0,1.0,USA,PA,Scranton,Hughie,Jennings,Hugh Ambrose,165.0,68.0,R,R,1891-06-01,1918-09-02
9138,jeterde01,1974.0,6.0,26.0,Pequannock,USA,NJ,,,,,,,Derek,Jeter,Derek Sanderson,195.0,75.0,R,R,1995-05-29,2014-09-28
9178,johnsba99,1865.0,1.0,5.0,Norwalk,USA,OH,1931.0,3.0,28.0,USA,MO,St. Louis,Ban,Johnson,Byron Bancroft,,,,,,
9247,johnsju99,1899.0,12.0,26.0,Snow Hill,USA,MD,1989.0,6.0,15.0,USA,DE,Wilmington,Judy,Johnson,William Julius,150.0,71.0,R,R,,
9276,johnsra05,1963.0,9.0,10.0,Walnut Creek,USA,CA,,,,,,,Randy,Johnson,Randall David,225.0,82.0,R,L,1988-09-15,2009-10-04
9299,johnswa01,1887.0,11.0,6.0,Humboldt,USA,KS,1946.0,12.0,10.0,USA,DC,Washington,Walter,Johnson,Walter Perry,200.0,73.0,R,R,1907-08-02,1927-09-30
9334,jonesch06,1972.0,4.0,24.0,DeLand,USA,FL,,,,,,,Chipper,Jones,Larry Wayne,210.0,76.0,B,R,1993-09-11,2012-10-03
9451,jossad01,1880.0,4.0,12.0,Woodland,USA,WI,1911.0,4.0,14.0,USA,OH,Toledo,Addie,Joss,Adrian,185.0,75.0,R,R,1902-04-26,1910-07-25
9495,kaatji01,1938.0,11.0,7.0,Zeeland,USA,MI,,,,,,,Jim,Kaat,James Lee,205.0,76.0,L,L,1959-08-02,1983-07-01
9515,kalinal01,1934.0,12.0,19.0,Baltimore,USA,MD,2020.0,4.0,6.0,USA,MI,Bloomfield Hills,Al,Kaline,Albert William,175.0,73.0,R,R,1953-06-25,1974-10-02
9601,keefeti01,1857.0,1.0,1.0,Cambridge,USA,MA,1933.0,4.0,23.0,USA,MA,Cambridge,Tim,Keefe,Timothy John,185.0,70.0,R,R,1880-08-06,1893-08-15
9605,keelewi01,1872.0,3.0,3.0,Brooklyn,USA,NY,1923.0,1.0,1.0,USA,NY,Brooklyn,Willie,Keeler,William Henry,140.0,64.0,L,L,1892-09-30,1910-09-05
9638,kellejo01,1871.0,12.0,9.0,Cambridge,USA,MA,1943.0,8.0,14.0,USA,MD,Baltimore,Joe,Kelley,Joseph James,190.0,71.0,R,R,1891-07-27,1908-10-03
9650,kellge01,1922.0,8.0,23.0,Swifton,USA,AR,2009.0,3.0,24.0,USA,AR,Swifton,George,Kell,George Clyde,175.0,69.0,R,R,1943-09-28,1957-09-14
