,playerID,birthYear,birthMonth,birthDay,birthCity,birthCountry,birthState,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame
1,aaronha01,1934.0,2.0,5.0,Mobile,USA,AL,2021.0,1.0,22.0,USA,GA,Atlanta,Hank,Aaron,Henry Louis,180.0,72.0,R,R,1954-04-13,1976-10-03
202,alexape01,1887.0,2.0,26.0,Elba,USA,NE,1950.0,11.0,4.0,USA,NE,St. Paul,Pete,Alexander,Grover Cleveland,185.0,73.0,R,R,1911-04-15,1930-05-28
281,alomaro01,1968.0,2.0,5.0,Ponce,P.R.,,,,,,,,Roberto,Alomar,Roberto,184.0,72.0,B,R,1988-04-22,2004-09-05
294,alstowa01,1911.0,12.0,1.0,Venice,USA,OH,1984.0,10.0,1.0,USA,OH,Oxford,Walter,Alston,Walter Emmons,195.0,74.0,R,R,1936-09-27,1936-09-27
399,andersp01,1934.0,2.0,22.0,Bridgewater,USA,SD,2010.0,11.0,4.0,USA,CA,Thousand Oaks,Sparky,Anderson,George Lee,170.0,69.0,R,R,1959-04-10,1959-09-27
441,ansonca01,1852.0,4.0,17.0,Marshalltown,USA,IA,1922.0,4.0,14.0,USA,IL,Chicago,Cap,Anson,Adrian Constantine,227.0,72.0,R,R,1871-05-06,1897-10-03
451,aparilu01,1934.0,4.0,29.0,Maracaibo,Venezuela,Zulia,,,,,,,Luis,Aparicio,Luis Ernesto,160.0,69.0,R,R,1956-04-17,1973-09-28
460,applilu01,1907.0,4.0,2.0,High Point,USA,NC,1991.0,1.0,3.0,USA,GA,Cumming,Luke,Appling,Lucius Benjamin,183.0,70.0,R,R,1930-09-10,1950-10-01
548,ashburi01,1927.0,3.0,19.0,Tilden,USA,NE,1997.0,9.0,9.0,USA,NY,New York,Richie,Ashburn,Don Richard,170.0,70.0,L,R,1948-04-20,1962-09-30
615,averiea01,1902.0,5.0,21.0,Snohomish,USA,WA,1983.0,8.0,16.0,USA,WA,Everett,Earl,Averill,Howard Earl,172.0,69.0,L,R,1929-04-16,1941-04-25
678,bagweje01,1968.0,5.0,27.0,Boston,USA,MA,,,,,,,Jeff,Bagwell,Jeffrey Robert,195.0,72.0,R,R,1991-04-08,2005-10-02
704,baineha01,1959.0,3.0,15.0,Easton,USA,MD,,,,,,,Harold,Baines,Harold Douglas,175.0,74.0,L,L,1980-04-10,2001-09-27
726,bakerfr01,1886.0,3.0,13.0,Trappe,USA,MD,1963.0,6.0,28.0,USA,MD,Trappe,Home Run,Baker,John Franklin,173.0,71.0,L,R,1908-09-21,1922-09-29
787,bancrda01,1891.0,4.0,20.0,Sioux City,USA,IA,1972.0,10.0,9.0,USA,WI,Superior,Dave,Bancroft,David James,160.0,69.0,B,R,1915-04-14,1930-05-31
800,bankser01,1931.0,1.0,31.0,Dallas,USA,TX,2015.0,1.0,23.0,USA,IL,Chicago,Ernie,Banks,Ernest,180.0,73.0,R,R,1953-09-17,1971-09-26
861,barlial99,1915.0,4.0,2.0,Springfield,USA,IL,1995.0,12.0,27.0,USA,IL,Springfield,Al,Barlick,Albert Joseph,185.0,71.0,,,,
944,barroed99,1868.0,5.0,10.0,Springfield,USA,IL,1953.0,12.0,15.0,USA,NY,Port Chester,Ed,Barrow,Edward Grant,,,,,,
1142,becklja01,1867.0,8.0,4.0,Hannibal,USA,MO,1918.0,6.0,25.0,USA,MO,Kansas City,Jake,Beckley,Jacob Peter,200.0,70.0,L,L,1888-06-20,1907-06-15
1205,bellco99,1903.0,5.0,17.0,Starkville,USA,MS,1991.0,3.0,7.0,USA,MO,St. Louis,Cool Papa,Bell,James Thomas,155.0,72.0,B,L,,
1244,beltrad01,1979.0,4.0,7.0,Santo Domingo,D.R.,Distrito Nacional,,,,,,,Adrian,Beltre,Adrian,220.0,71.0,R,R,1998-06-24,2018-09-30
1255,benchjo01,1947.0,12.0,7.0,Oklahoma City,USA,OK,,,,,,,Johnny,Bench,Johnny Lee,197.0,73.0,R,R,1967-08-28,1983-09-29
1257,bendech01,1884.0,5.0,5.0,Crow Wing County,USA,MN,1954.0,5.0,22.0,USA,PA,Philadelphia,Charles,Bender,Charles Albert,185.0,74.0,R,R,1903-04-20,1925-07-21
1360,berrayo01,1925.0,5.0,12.0,St. Louis,USA,MO,2015.0,9.0,22.0,USA,NJ,West Caldwell,Yogi,Berra,Lawrence Peter,185.0,67.0,L,R,1946-09-22,1965-05-09
1450,biggicr01,1965.0,12.0,14.0,Smithtown,USA,NY,,,,,,,Craig,Biggio,Craig Alan,185.0,71.0,R,R,1988-06-26,2007-09-30
1630,blylebe01,1951.0,4.0,6.0,Zeist,Netherlands,Utrecht,,,,,,,Bert,Blyleven,Rik Aalbert,200.0,75.0,R,R,1970-06-05,1992-10-04
1664,boggswa01,1958.0,6.0,15.0,Omaha,USA,NE,,,,,,,Wade,Boggs,Wade Anthony,190.0,74.0,L,R,1982-04-10,1999-08-27
1804,bottoji01,1900.0,4.0,23.0,Oglesby,USA,IL,1959.0,12.0,11.0,USA,MO,St. Louis,Jim,Bottomley,James Leroy,180.0,72.0,L,L,1922-08-18,1937-09-16
1812,boudrlo01,1917.0,7.0,17.0,Harvey,USA,IL,2001.0,8.0,10.0,USA,IL,Olympia Fields,Lou,Boudreau,Louis,185.0,71.0,R,R,1938-09-09,1952-08-24
1879,boyerke01,1931.0,5.0,20.0,Liberty,USA,MO,1982.0,9.0,7.0,USA,MO,St. Louis,Ken,Boyer,Kenton Lloyd,190.0,73.0,R,R,1955-04-12,1969-08-09
2028,bresnro01,1879.0,6.0,11.0,Toledo,USA,OH,1944.0,12.0,4.0,USA,OH,Toledo,Roger,Bresnahan,Roger Philip,200.0,69.0,R,R,1897-08-27,1915-10-03
2032,brettge01,1953.0,5.0,15.0,Glen Dale,USA,WV,,,,,,,George,Brett,George Howard,185.0,72.0,L,R,1973-08-02,1993-10-03
2113,brocklo01,1939.0,6.0,18.0,El Dorado,USA,AR,2020.0,9.0,6.0,USA,MO,St. Louis,Lou,Brock,Louis Clark,170.0,71.0,L,L,1961-09-10,1979-09-30
2149,broutda01,1858.0,5.0,8.0,Sylvan Lake,USA,NY,1932.0,8.0,2.0,USA,NJ,East Orange,Dan,Brouthers,Dennis Joseph,207.0,74.0,L,L,1879-06-23,1904-10-04
2231,brownmo01,1876.0,10.0,19.0,Nyesville,USA,IN,1948.0,2.0,14.0,USA,IN,Terre Haute,Mordecai,Brown,Mordecai Peter Centennial,175.0,70.0,B,R,1903-04-19,1916-09-04
2242,brownra99,1908.0,2.0,23.0,McDonald Township,USA,OH,1965.0,2.0,8.0,USA,OH,Dayton,Ray,Brown,Raymond Leslie,195.0,73.0,B,R,,
2257,brownwi02,1915.0,6.0,26.0,Shreveport,USA,LA,1996.0,8.0,4.0,USA,TX,Houston,Willard,Brown,Willard Jessie,200.0,71.0,R,R,1947-07-19,1947-08-17
2363,bulkemo99,1837.0,12.0,26.0,East Haddam,USA,CT,1922.0,11.0,6.0,USA,CT,Hartford,Morgan,Bulkeley,Morgan Gardner,,,,,,
2381,bunniji01,1931.0,10.0,23.0,Southgate,USA,KY,2017.0,5.0,26.0,USA,KY,Edgewood,Jim,Bunning,James Paul David,190.0,75.0,R,R,1955-07-20,1971-09-03
2423,burkeje01,1868.0,12.0,4.0,Wheeling,USA,WV,1953.0,5.0,27.0,USA,MA,Worcester,Jesse,Burkett,Jesse Cail,155.0,68.0,L,L,1890-04-22,1905-10-07
2696,campabe01,1942.0,3.0,9.0,Pueblo Nuevo,Cuba,,,,,,,,Bert,Campaneris,Dagoberto,160.0,70.0,R,R,1964-07-23,1983-10-01
2699,camparo01,1921.0,11.0,19.0,Philadelphia,USA,PA,1993.0,6.0,26.0,USA,CA,Woodland Hills,Roy,Campanella,Roy,190.0,69.0,R,R,1948-04-20,1957-09-29
2801,carewro01,1945.0,10.0,1.0,Gatun,Panama,Canal Zone,,,,,,,Rod,Carew,Rodney Cline,170.0,72.0,L,R,1967-04-11,1985-10-05
2803,careyma01,1890.0,1.0,11.0,Terre Haute,USA,IN,1976.0,5.0,30.0,USA,FL,Miami,Max,Carey,Max George,170.0,71.0,B,R,1910-10-03,1929-09-29
2831,carltst01,1944.0,12.0,22.0,Miami,USA,FL,,,,,,,Steve,Carlton,Steven Norman,210.0,76.0,L,L,1965-04-12,1988-04-23
2909,cartega01,1954.0,4.0,8.0,Culver City,USA,CA,2012.0,2.0,16.0,USA,FL,West Palm Beach,Gary,Carter,Gary Edmund,205.0,74.0,R,R,1974-09-16,1992-09-27
2919,cartwal99,1820.0,4.0,17.0,New York,USA,NY,1892.0,7.0,12.0,USA,HI,Honolulu,Alexander,Cartwright,Alexander Joy,,,,,,
3070,cepedor01,1937.0,9.0,17.0,Ponce,P.R.,,,,,,,,Orlando,Cepeda,Orlando Manuel,210.0,74.0,R,R,1958-04-15,1974-09-19
3090,chadwhe99,1824.0,10.0,5.0,Exeter,United Kingdom,Devon,1908.0,4.0,20.0,USA,NY,Brooklyn,Henry,Chadwick,Henry,,,,,,
3115,chancfr01,1876.0,9.0,9.0,Fresno,USA,CA,1924.0,9.0,15.0,USA,CA,Los Angeles,Frank,Chance,Frank Leroy,190.0,72.0,R,R,1898-04-29,1914-04-21
3117,chandha99,1898.0,7.0,14.0,Corydon,USA,KY,1991.0,6.0,15.0,USA,KY,Versailles,Happy,Chandler,Albert Benjamin,,,,,,
3153,charlos99,1896.0,10.0,14.0,Indianapolis,USA,IN,1954.0,10.0,5.0,USA,PA,Philadelphia,Oscar,Charleston,Oscar McKinley,185.0,68.0,L,L,,
3183,chesbja01,1874.0,6.0,5.0,North Adams,USA,MA,1931.0,11.0,6.0,USA,MA,Conway,Jack,Chesbro,John Dwight,180.0,69.0,R,R,1899-07-12,1909-10-02
3255,chylane99,1922.0,5.0,11.0,Olyphant,USA,PA,1982.0,2.0,17.0,USA,PA,Dunmore,Nestor,Chylak,Nestor George,190.0,72.0,,,,
3321,clarkfr01,1872.0,10.0,3.0,Winterset,USA,IA,1960.0,8.0,14.0,USA,KS,Winfield,Fred,Clarke,Fred Clifford,165.0,70.0,L,R,1894-06-30,1915-09-23
3336,clarkjo01,1861.0,7.0,1.0,Cambridge,USA,MA,1909.0,2.0,4.0,USA,MA,Belmont,John,Clarkson,John Gibson,155.0,70.0,R,R,1882-05-02,1894-07-12
3398,clemero01,1934.0,8.0,18.0,Carolina,P.R.,,1972.0,12.0,31.0,P.R.,,San Juan,Roberto,Clemente,Roberto,175.0,71.0,R,R,1955-04-17,1972-10-03
3447,cobbty01,1886.0,12.0,18.0,Narrows,USA,GA,1961.0,7.0,17.0,USA,GA,Atlanta,Ty,Cobb,Tyrus Raymond,175.0,73.0,L,R,1905-08-30,1928-09-11
3453,cochrmi01,1903.0,4.0,6.0,Bridgewater,USA,MA,1962.0,6.0,28.0,USA,IL,Lake Forest,Mickey,Cochrane,Gordon Stanley,180.0,70.0,L,R,1925-04-14,1937-05-25
3482,colavro01,1933.0,8.0,10.0,New York,USA,NY,,,,,,,Rocky,Colavito,Rocco Domenico,190.0,75.0,R,R,1955-09-10,1968-09-28
3539,collied01,1887.0,5.0,2.0,Millerton,USA,NY,1951.0,3.0,25.0,USA,MA,Boston,Eddie,Collins,Edward Trowbridge,175.0,69.0,L,R,1906-09-17,1930-08-05
3543,colliji01,1870.0,1.0,16.0,Niagara Falls,USA,NY,1943.0,3.0,6.0,USA,NY,Buffalo,Jimmy,Collins,James Joseph,178.0,69.0,R,R,1895-04-19,1908-08-29
3580,combsea01,1899.0,5.0,14.0,Pebworth,USA,KY,1976.0,7.0,21.0,USA,KY,Richmond,Earle,Combs,Earle Bryan,185.0,72.0,L,R,1924-04-16,1935-09-29
3586,comisch01,1859.0,8.0,15.0,Chicago,USA,IL,1931.0,10.0,26.0,USA,WI,Eagle River,Charlie,Comiskey,Charles Albert,180.0,72.0,R,R,1882-05-02,1894-09-12
3612,conlajo01,1899.0,12.0,6.0,Chicago,USA,IL,1989.0,4.0,16.0,USA,AZ,Scottsdale,Jocko,Conlan,John Bertrand,165.0,67.0,L,L,1934-07-06,1935-09-29
3647,connoro01,1857.0,7.0,1.0,Waterbury,USA,CT,1931.0,1.0,4.0,USA,CT,Waterbury,Roger,Connor,Roger,220.0,75.0,B,L,1880-05-01,1897-05-18
3648,connoto01,1892.0,12.0,30.0,Boston,USA,MA,1966.0,5.0,14.0,USA,MA,Boston,Tom,Connolly,Thomas Francis,175.0,71.0,L,R,1915-05-12,1915-10-02
3649,connoto99,1870.0,12.0,31.0,Manchester,United Kingdom,Manchester,1961.0,4.0,28.0,USA,MA,Natick,Tommy,Connolly,Thomas Henry,170.0,67.0,,,,
3718,coopean99,1897.0,4.0,24.0,Waco,USA,TX,1941.0,6.0,3.0,USA,TX,Waco,Andy,Cooper,Andrew Lewis,220.0,74.0,R,L,,
3856,covelst01,1889.0,7.0,13.0,Shamokin,USA,PA,1984.0,3.0,20.0,USA,IN,South Bend,Stan,Coveleski,Stanley Anthony,166.0,71.0,R,R,1912-09-10,1928-08-03
3870,coxbo01,1941.0,5.0,21.0,Tulsa,USA,OK,,,,,,,Bobby,Cox,Robert Joe,180.0,71.0,R,R,1968-04-14,1969-10-01
3939,crawfsa01,1880.0,4.0,18.0,Wahoo,USA,NE,1968.0,6.0,15.0,USA,CA,Hollywood,Sam,Crawford,Samuel Earl,190.0,72.0,L,L,1899-09-10,1917-09-16
4001,cronijo01,1906.0,10.0,12.0,San Francisco,USA,CA,1984.0,9.0,7.0,USA,MA,Barnstable,Joe,Cronin,Joseph Edward,180.0,71.0,R,R,1926-04-29,1945-04-19
4090,cuellmi01,1937.0,5.0,8.0,Las Villas,Cuba,,2010.0,4.0,2.0,USA,FL,Orlando,Mike,Cuellar,Miguel Angel,165.0,72.0,L,L,1959-04-18,1977-05-03
4113,cummica01,1848.0,10.0,18.0,Ware,USA,MA,1924.0,5.0,16.0,USA,OH,Toledo,Candy,Cummings,William Arthur,120.0,69.0,R,R,1872-04-22,1877-08-18
4170,cuyleki01,1898.0,8.0,30.0,Harrisville,USA,MI,1950.0,2.0,11.0,USA,MI,Ann Arbor,Kiki,Cuyler,Hazen Shirley,180.0,70.0,R,R,1921-09-29,1938-09-14
4230,dandrra99,1913.0,8.0,31.0,Richmond,USA,VA,1994.0,2.0,12.0,USA,FL,Palm Bay,Ray,Dandridge,Raymond Emmett,175.0,65.0,R,R,,
4344,davisge01,1870.0,8.0,23.0,Cohoes,USA,NY,1940.0,10.0,17.0,USA,PA,Philadelphia,George,Davis,George Stacey,180.0,69.0,B,R,1890-04-19,1909-08-15
4402,dawsoan01,1954.0,7.0,10.0,Miami,USA,FL,,,,,,,Andre,Dawson,Andre Nolan,180.0,75.0,R,R,1976-09-11,1996-09-29
4411,dayle99,1916.0,10.0,30.0,Alexandria,USA,VA,1995.0,3.0,13.0,USA,MD,Baltimore,Leon,Day,Leon,170.0,69.0,R,R,,
4426,deandi01,1910.0,1.0,16.0,Lucas,USA,AR,1974.0,7.0,17.0,USA,NV,Reno,Dizzy,Dean,Jay Hanna,182.0,74.0,R,R,1930-09-28,1947-09-28
4501,delahed01,1867.0,10.0,30.0,Cleveland,USA,OH,1903.0,7.0,2.0,CAN,ON,Niagara Falls,Ed,Delahanty,Edward James,170.0,73.0,R,R,1888-05-22,1903-06-25
4705,dickebi01,1907.0,6.0,6.0,Bastrop,USA,LA,1993.0,11.0,12.0,USA,AR,Little Rock,Bill,Dickey,William Malcolm,185.0,73.0,L,R,1928-08-15,1946-09-08
4743,dihigma99,1905.0,5.0,25.0,Cidra,Cuba,Matanzas,1971.0,5.0,20.0,Cuba,Las Villas,Cienfuegos,Martin,Dihigo,Martin Magdaleno,195.0,74.0,R,R,,
4761,dimagjo01,1914.0,11.0,25.0,Martinez,USA,CA,1999.0,3.0,8.0,USA,FL,Hollywood,Joe,DiMaggio,Joseph Paul,193.0,74.0,R,R,1936-05-03,1951-09-30
4806,dobyla01,1923.0,12.0,13.0,Camden,USA,SC,2003.0,6.0,18.0,USA,NJ,Montclair,Larry,Doby,Lawrence Eugene,180.0,73.0,L,R,1947-07-05,1959-07-26
4815,doerrbo01,1918.0,4.0,7.0,Los Angeles,USA,CA,2017.0,11.0,13.0,USA,OR,Junction City,Bobby,Doerr,Robert Pershing,175.0,71.0,R,R,1937-04-20,1951-09-07
5004,dreyfba99,1865.0,2.0,23.0,Freiburg,Germany,Baden-Wurttemberg,1932.0,2.0,5.0,USA,NY,New York,Barney,Dreyfuss,Barney,,,,,,
5022,drysddo01,1936.0,7.0,23.0,Van Nuys,USA,CA,1993.0,7.0,3.0,CAN,QC,Montreal,Don,Drysdale,Donald Scott,190.0,77.0,R,R,1956-04-17,1969-08-05
5051,duffyhu01,1866.0,11.0,26.0,Cranston,USA,RI,1954.0,10.0,19.0,USA,MA,Boston,Hugh,Duffy,Hugh,168.0,67.0,R,R,1888-06-23,1906-04-13
5147,durocle01,1905.0,7.0,27.0,West Springfield,USA,MA,1991.0,10.0,7.0,USA,CA,Palm Springs,Leo,Durocher,Leo Ernest,160.0,70.0,R,R,1925-10-02,1945-04-18
5229,eckerde01,1954.0,10.0,3.0,Oakland,USA,CA,,,,,,,Dennis,Eckersley,Dennis Lee,190.0,74.0,R,R,1975-04-12,1998-09-26
5516,evansbi99,1884.0,2.0,10.0,Chicago,USA,IL,1956.0,1.0,23.0,USA,FL,Miami,Billy,Evans,William George,205.0,71.0,,,,
5539,eversjo01,1881.0,7.0,21.0,Troy,USA,NY,1947.0,3.0,28.0,USA,NY,Albany,Johnny,Evers,John Joseph,125.0,69.0,L,R,1902-09-01,1929-10-06
5544,ewingbu01,1859.0,10.0,17.0,Hoagland,USA,OH,1906.0,10.0,20.0,USA,OH,Cincinnati,Buck,Ewing,William,188.0,70.0,R,R,1880-09-09,1897-05-27
5555,faberre01,1888.0,9.0,6.0,Cascade,USA,IA,1976.0,9.0,25.0,USA,IL,Chicago,Red,Faber,Urban Clarence,180.0,74.0,B,R,1914-04-17,1933-09-20
5675,fellebo01,1918.0,11.0,3.0,Van Meter,USA,IA,2010.0,12.0,15.0,USA,OH,Cleveland,Bob,Feller,Robert William Andrew,185.0,72.0,R,R,1936-07-19,1956-09-30
5718,ferreri01,1905.0,10.0,12.0,Durham,USA,NC,1995.0,7.0,27.0,USA,MI,Bloomfield Hills,Rick,Ferrell,Richard Benjamin,160.0,70.0,R,R,1929-04-19,1947-09-14
5786,fingero01,1946.0,8.0,25.0,Steubenville,USA,OH,,,,,,,Rollie,Fingers,Roland Glen,190.0,76.0,R,R,1968-09-15,1985-09-17
5846,fiskca01,1947.0,12.0,26.0,Bellows Falls,USA,VT,,,,,,,Carlton,Fisk,Carlton Ernest,200.0,75.0,R,R,1969-09-18,1993-06-22
5915,flickel01,1876.0,1.0,11.0,Bedford,USA,OH,1971.0,1.0,9.0,USA,OH,Bedford,Elmer,Flick,Elmer Harrison,168.0,69.0,L,R,1898-04-26,1910-07-04
6012,fordwh01,1928.0,10.0,21.0,New York,USA,NY,2020.0,10.0,8.0,USA,NY,Lake Success,Whitey,Ford,Edward Charles,178.0,70.0,L,L,1950-07-01,1967-05-21
6038,fostebi99,1904.0,6.0,12.0,Calvert,USA,TX,1978.0,9.0,16.0,USA,MS,Lorman,Bill,Foster,William Hendrick,190.0,72.0,B,L,,
6054,fosteru99,1879.0,9.0,17.0,La Grange,USA,TX,1930.0,12.0,9.0,USA,IL,Kankakee,Rube,Foster,Andrew Bishop,230.0,69.0,R,R,,
6084,foxne01,1927.0,12.0,25.0,St. Thomas,USA,PA,1975.0,12.0,1.0,USA,MD,Baltimore,Nellie,Fox,Jacob Nelson,160.0,70.0,L,R,1947-06-08,1965-07-25
6088,foxxji01,1907.0,10.0,22.0,Sudlersville,USA,MD,1967.0,7.0,21.0,USA,FL,Miami,Jimmie,Foxx,James Emory,195.0,72.0,R,R,1925-05-01,1945-09-23
6196,frickfo99,1894.0,12.0,19.0,Wawaka,USA,IN,1978.0,4.0,8.0,USA,NY,Bronxville,Ford,Frick,Ford Christopher,,,,,,
6216,friscfr01,1897.0,9.0,9.0,Bronx,USA,NY,1973.0,3.0,12.0,USA,DE,Wilmington,Frankie,Frisch,Frank Francis,165.0,71.0,B,R,1919-06-17,1937-08-05
